StudyDescription	Modality	platform	frequency
2V4A-2	SR, nan	IDC,TCIA	2
XR RIGHT CALCANEUS 2 VIEWS	CR	MIDRC	2
2V4E-2	SR, nan	IDC,TCIA	2
2V2F-2	SR, nan	IDC,TCIA	2
XR RIGHT ELBOW 4+ VIEWS	DX	MIDRC	2
2V4E-1	SR, nan	IDC,TCIA	2
2V4D-2	SR, nan	IDC,TCIA	2
2V4D-1	SR, nan	IDC,TCIA	2
2V4C-2	SR, nan	IDC,TCIA	2
2V3A-1	SR, nan	IDC,TCIA	2
XR WRIST RIGHT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	2
2V4C-1	SR, nan	IDC,TCIA	2
2V4B-2	SR, nan	IDC,TCIA	2
2V3A-2	SR, nan	IDC,TCIA	2
2V4B-1	SR, nan	IDC,TCIA	2
XR THORACIC SPINE AP AND LATERAL	DX	MIDRC	2
2V6F-2	SR, nan	IDC,TCIA	2
_t17of17_MRI IAMS	MR, nan	IDC,TCIA	2
XR LEFT FEMUR MIN 2 VIEWS	DX	MIDRC	2
3V1B-2	SR, nan	IDC,TCIA	2
_t1of5External Images for PACS	MR, nan	IDC,TCIA	2
3V1B-1	SR, nan	IDC,TCIA	2
X-RAY CLAVICLE COMPLETE - RIGHT	CR, DX	MIDRC	2
2V1D-2	SR, nan	IDC,TCIA	2
X-RAY ELBOW COMPLETE MIN 3 VWS - LEFT	CR, DX	MIDRC	2
_t1of4 MRI IAMS	MR, nan	IDC,TCIA	2
2V1E-1	SR, nan	IDC,TCIA	2
3V1A-2	SR, nan	IDC,TCIA	2
2V1E-2	SR, nan	IDC,TCIA	2
3V1A-1	SR, nan	IDC,TCIA	2
3PHASE, DUAL E	CT, nan	IDC,TCIA	2
3MM	nan	TCIA	2
2V1F-2	SR, nan	IDC,TCIA	2
3D decay linearity	CT, nan	IDC,TCIA	2
X-RAY GI UPPER DOUBLE CONTRAST W/KUB	DX	MIDRC	2
X-RAY CHEST OUTSIDE IMAGE	CR, DX	MIDRC	2
3V1C-1	SR, nan	IDC,TCIA	2
3D MULTIPLANAR/C-A-P	SEG, nan	IDC,TCIA	2
3V1C-2	SR, nan	IDC,TCIA	2
3V2B-1	SR, nan	IDC,TCIA	2
WHOLE BODY	PT, nan	IDC,TCIA	2
3V2A-2	SR, nan	IDC,TCIA	2
_t1of6 MRI IAMS	MR, nan	IDC,TCIA	2
WRIST COMPLETE RIGHT 3 VIEWS MIN	CR, DX	MIDRC	2
3V2A-1	SR, nan	IDC,TCIA	2
3V1F-2	SR, nan	IDC,TCIA	2
_t1of6 External Images for PACS	MR, nan	IDC,TCIA	2
3V1E-2	SR, nan	IDC,TCIA	2
3V1E-1	SR, nan	IDC,TCIA	2
3V1D-2	SR, nan	IDC,TCIA	2
_t1of6  MRI IAMS	MR, nan	IDC,TCIA	2
3V1D-1	SR, nan	IDC,TCIA	2
X-RAY CALCANEUS MINIMUM 2 VIEWS - RIGHT	DX	MIDRC	2
2V1D-1	SR, nan	IDC,TCIA	2
2V2A-1	SR, nan	IDC,TCIA	2
3615 MR RIGHT BREAST WO/W CONT	MR, nan	IDC,TCIA	2
2V2C-2	SR, nan	IDC,TCIA	2
XR CERVICAL SPINE 2-3 VIEWS WITH FLEXION EXTENSION	DX	MIDRC	2
XR FOOT 3+ VIEWS	CR	MIDRC	2
2V2B-2	SR, nan	IDC,TCIA	2
XR HAND LEFT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	2
_t1of17  External Images for PACS	MR, nan	IDC,TCIA	2
XR HAND RIGHT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	2
_t1of11_MRI RNTNE historical imaging	MR, nan	IDC,TCIA	2
XR HIP LEFT 2-3 VIEWS WWO PELVIS	CR	MIDRC	2
XR HIP RIGHT 1 VIEW	DX	MIDRC	2
2V2C-1	SR, nan	IDC,TCIA	2
XR KNEE LT 4 OR MORE VIEWS	CR	MIDRC	2
XR KNEE RT 1 OR 2 VIEWS	DX	MIDRC	2
XR KNEE RT 3 VIEWS	DX	MIDRC	2
XR KNEES ANTEROPOSTERIOR STANDING BILATERAL	DX	MIDRC	2
_t1of10External Images for PACS	MR, nan	IDC,TCIA	2
XR KUB UPRIGHT, ABDOMEN 1 VIEW	DX	MIDRC	2
_t1of2  MRI Head	MR, nan	IDC,TCIA	2
XR CAP	DX, nan	IDC,TCIA	2
3615 - MR BREAST WO/W CONT #6667	MR, nan	IDC,TCIA	2
XR ANKLE RIGHT (ROUTINE: AP,LAT,OBL)	CR, DX	MIDRC	2
3615 - 6667 LIMITED MR RT BREAST WO/W CONT	MR, nan	IDC,TCIA	2
2V2A-2	SR, nan	IDC,TCIA	2
X-RAY HIPS BILATERAL WITH PELVIS 3 OR 4 VIEWS	DX	MIDRC	2
X-RAY HIPS BILATERAL WITH PELVIS MINIMUM 5 VIEWS	DX	MIDRC	2
_t1of3  MRI IAMS post Gad	MR, nan	IDC,TCIA	2
3607 MR LT BREAST WO/W CONT	MR, SEG	IDC	2
X-RAY SCAPULA COMPLETE - RIGHT	DX	MIDRC	2
_t1of3  MRI IAMS	MR, nan	IDC,TCIA	2
X-RAY TIBIA & FIBULA 2 VIEWS - RIGHT	CR, DX	MIDRC	2
_t1of3  MRI Head	MR, nan	IDC,TCIA	2
2V2B-1	SR, nan	IDC,TCIA	2
XA_Biopsy	XA, nan	IDC,TCIA	2
XA_Pelvis	XA, nan	IDC,TCIA	2
3607 MR BREAST WO OR W BILAT	MR, SEG	IDC	2
XR ABDOMEN 2 VIEWS	DX	MIDRC	2
4V2D-1	SR, nan	IDC,TCIA	2
4V2E-1	SR, nan	IDC,TCIA	2
6V1E-2	SR, nan	IDC,TCIA	2
5V4B-1	SR, nan	IDC,TCIA	2
5V4B-2	SR, nan	IDC,TCIA	2
T/A/P W/C LIVER	SEG, nan	IDC,TCIA	2
1V5C-1	SR, nan	IDC,TCIA	2
T1 - US	US	ACRdart	2
T11-L1/RT CLAVICLE	SEG, nan	IDC,TCIA	2
T3	SEG, nan	IDC,TCIA	2
TAP LIVER W/C	SEG, nan	IDC,TCIA	2
5V4A-2	SR, nan	IDC,TCIA	2
5V3B-1	SR, nan	IDC,TCIA	2
TB TOTAL BODY	NM, nan	IDC,TCIA	2
THOR.ABD.PEL.BED.	CT, nan	IDC,TCIA	2
1V5C-2	SR, nan	IDC,TCIA	2
THORACIC SPINE 3 VIEWS	CR, DX	MIDRC	2
THORAX	RTSTRUCT, CT	IDC	2
THORAX (Adult)	CT, nan	IDC,TCIA	2
5V4A-1	SR, nan	IDC,TCIA	2
T/A/P LIVER W/C	SEG, nan	IDC,TCIA	2
T SPINERIB & PELVIS	SEG, nan	IDC,TCIA	2
5V4C-1	SR, nan	IDC,TCIA	2
T L S SPINE	CT, nan	IDC,TCIA	2
5V5B-2	SR, nan	IDC,TCIA	2
5V5B-1	SR, nan	IDC,TCIA	2
5V5A-2	SR, nan	IDC,TCIA	2
Specials^ADRENAL_ABD_WO_W (Adult)	CT, nan	IDC,TCIA	2
Specials^RCCTPET_THORAX_8F (Adult)	RTSTRUCT, CT	IDC	2
Spine^CRANIOSPINAL_SUPINE (Adult)	SEG, nan	IDC,TCIA	2
5V5A-1	SR, nan	IDC,TCIA	2
Spine^SPINE_BONE_SBRT_4D (Adult)	SEG, nan	IDC,TCIA	2
5V4F-2	SR, nan	IDC,TCIA	2
Standard Diagnostic- TomoHD	MG, nan	IDC,TCIA	2
5V4E-2	SR, nan	IDC,TCIA	2
5V4E-1	SR, nan	IDC,TCIA	2
5V4D-2	SR, nan	IDC,TCIA	2
5V4D-1	SR, nan	IDC,TCIA	2
5V4C-2	SR, nan	IDC,TCIA	2
1V5D-1	SR, nan	IDC,TCIA	2
5V3F-2	SR, nan	IDC,TCIA	2
_t4of6  MRI IAMS post Gad	MR, nan	IDC,TCIA	2
5V3D-1	SR, nan	IDC,TCIA	2
TK jamy brzusznej lub miednicy mniejszej bez wzmoc.kontr. i co n	RTSTRUCT, nan	IDC,TCIA	2
TK jamy brzusznej z ko	RTSTRUCT, nan	IDC,TCIA	2
TK jamy brzusznej z kontrastem	RTSTRUCT, nan	IDC,TCIA	2
TK klatki piersiowej	RTSTRUCT, nan	IDC,TCIA	2
TK klatki piersiowej bez i ze wzmocnieniem kontrastowym	CT, nan	IDC,TCIA	2
TK klatki piersiowej bez i ze wzmocnieniem kontrastowym - VISIPA	CT, nan	IDC,TCIA	2
1V5E-1	SR, nan	IDC,TCIA	2
TK klatki piersiowej bez kontrastu i z kontrastem	CT, nan	IDC,TCIA	2
MRI Abdomen W, W/O Contrast	SEG, nan	IDC,TCIA	2
5V3C-2	SR, nan	IDC,TCIA	2
TOMO DIAGNOSTIC MAMM RIGHT	MG	ACRdart,IDC	2
TOMOGRAFIA COMPUTADORI	CT, nan	IDC,TCIA	2
TOMOGRAFIA JAMY BRZUSZNEJ Z KONTRASTEM	RTSTRUCT, nan	IDC,TCIA	2
5V3C-1	SR, nan	IDC,TCIA	2
5V3B-2	SR, nan	IDC,TCIA	2
TK jamy brzusznej lub miednicy malej bez kontrastu i z kontraste	RTSTRUCT, nan	IDC,TCIA	2
TK j.brzusznej/mied malej BK i min 2 fazy ZK	RTSTRUCT, nan	IDC,TCIA	2
1V5D-2	SR, nan	IDC,TCIA	2
TK SPECJ. JAMY BRZUSZN	SEG, nan	IDC,TCIA	2
5V3E-2	SR, nan	IDC,TCIA	2
THORAX WITH	SEG, nan	IDC,TCIA	2
5V3E-1	SR, nan	IDC,TCIA	2
TK - BRZUCHA Z K	RTSTRUCT, nan	IDC,TCIA	2
TK - KLP	CT, nan	IDC,TCIA	2
TK - j. brzusznej	RTSTRUCT, nan	IDC,TCIA	2
TK - jama brzuszna z kontrastem	RTSTRUCT, nan	IDC,TCIA	2
TK Angiografia tt. i zyl plucnych	CT, nan	IDC,TCIA	2
TK J BRZUSZNEJ	RTSTRUCT, nan	IDC,TCIA	2
_t4of5  MRI Head	MR, nan	IDC,TCIA	2
TK J. BRZ. I M.M	RTSTRUCT, nan	IDC,TCIA	2
TK JAMA BRZUSZNA I MIE	RTSTRUCT, nan	IDC,TCIA	2
5V3D-2	SR, nan	IDC,TCIA	2
TK JAMY BRZUSZNEJ I MIEDNICY MNIEJSZEJ	RTSTRUCT, nan	IDC,TCIA	2
TK Klatki piersiowej bez kontrastu	CT, nan	IDC,TCIA	2
Specials^01_Biopsy_1 (Adult)	CT, nan	IDC,TCIA	2
Specials 1PETCT_Wholebody	SEG, nan	IDC,TCIA	2
5V5C-1	SR, nan	IDC,TCIA	2
SUPINE RECTUM	CT, nan	IDC,TCIA	2
6667 acrin	MR, nan	IDC,TCIA	2
6667 LT BREAST/GAD	MR, nan	IDC,TCIA	2
6667 CONTRALATERAL	MR, nan	IDC,TCIA	2
_t5of8MRI IAMS post Gad	MR, nan	IDC,TCIA	2
1V5A-1	SR, nan	IDC,TCIA	2
6667 CONTRA BREAST	MR, nan	IDC,TCIA	2
1V5A-2	SR, nan	IDC,TCIA	2
_t5of7  MRI IAMS	MR, nan	IDC,TCIA	2
6667 BREAST WO/W CONT	MR, nan	IDC,TCIA	2
6026   ABD CT W/C	CT, nan	IDC,TCIA	2
5mm chest	CT, nan	IDC,TCIA	2
5V6F-2	SR, nan	IDC,TCIA	2
5V6E-2	SR, nan	IDC,TCIA	2
_t5of6  MRI IAMS	MR, nan	IDC,TCIA	2
5V6E-1	SR, nan	IDC,TCIA	2
1V4F-2	SR, nan	IDC,TCIA	2
STUDY RT BREAST	MR, nan	IDC,TCIA	2
5V6D-1	SR, nan	IDC,TCIA	2
STANDARD Abdomen	RTSTRUCT, nan	IDC,TCIA	2
6V1E-1	SR, nan	IDC,TCIA	2
2V3B-2	SR, nan	IDC,TCIA	2
6V1D-1	SR, nan	IDC,TCIA	2
6V1C-2	SR, nan	IDC,TCIA	2
6V1C-1	SR, nan	IDC,TCIA	2
6V1B-2	SR, nan	IDC,TCIA	2
6V1B-1	SR, nan	IDC,TCIA	2
6V1A-2	SR, nan	IDC,TCIA	2
6V1A-1	SR, nan	IDC,TCIA	2
SPINE	SEG, nan	IDC,TCIA	2
_t5of9MRI Head	MR, nan	IDC,TCIA	2
SPINE^C-SPINE	MR	MIDRC	2
6667CONDRLATERAL BREAS	MR, nan	IDC,TCIA	2
6667/sodium	MR, nan	IDC,TCIA	2
_t5of9  MRI IAMS	MR, nan	IDC,TCIA	2
5V6D-2	SR, nan	IDC,TCIA	2
_t5of5_MRI IAMS	MR, nan	IDC,TCIA	2
5V5C-2	SR, nan	IDC,TCIA	2
_t5of5EXTERNAL IMAGES	MR, nan	IDC,TCIA	2
Scanner-Philips_Exp-50_Pitch-1.2_SlCol-16x0.75	CT, nan	IDC,TCIA	2
Scanner-Philips_Exp-50_Pitch-1.2_SlCol-16x1.5	CT, nan	IDC,TCIA	2
1V5B-1	SR, nan	IDC,TCIA	2
Scanner-SIEMENS_Exp-100_Pitch-0.9_SlCol-64x0.6mm	CT, nan	IDC,TCIA	2
_t5of5  MRI Head	MR, nan	IDC,TCIA	2
Scanner-SIEMENS_Exp-100_Pitch-1.2_SlCol-64x0.6mm	CT, nan	IDC,TCIA	2
Scanner-SIEMENS_Exp-200_Pitch-0.9_SlCol-64x0.6mm	CT, nan	IDC,TCIA	2
Scanner-SIEMENS_Exp-200_Pitch-1.2_SlCol-64x0.6mm	CT, nan	IDC,TCIA	2
_t4of8MRI IAMS	MR, nan	IDC,TCIA	2
Scanner-SIEMENS_Exp-25_Pitch-0.9_SlCol-64x0.6mm	CT, nan	IDC,TCIA	2
Scanner-SIEMENS_Exp-25_Pitch-1.2_SlCol-64x0.6mm	CT, nan	IDC,TCIA	2
1V5B-2	SR, nan	IDC,TCIA	2
5V5D-2	SR, nan	IDC,TCIA	2
5V5D-1	SR, nan	IDC,TCIA	2
Screening-Bilateral Mammography	MG, nan	IDC,TCIA	2
Scanner-Philips_Exp-50_Pitch-0.9_SlCol-16x1.5	CT, nan	IDC,TCIA	2
Scanner-Philips_Exp-50_Pitch-0.9_SlCol-16x0.75	CT, nan	IDC,TCIA	2
5V6C-2	SR, nan	IDC,TCIA	2
5V5E-1	SR, nan	IDC,TCIA	2
5V6C-1	SR, nan	IDC,TCIA	2
_t5of5MRI IAMS post Gad	MR, nan	IDC,TCIA	2
_t5of5MRI IAMS	MR, nan	IDC,TCIA	2
5V6B-2	SR, nan	IDC,TCIA	2
Scanner-Philips_Exp-20_Pitch-1.2_SlCol-16x0.75	CT, nan	IDC,TCIA	2
Scanner-Philips_Exp-20_Pitch-1.2_SlCol-16x0.75mm	CT, nan	IDC,TCIA	2
Scanner-Philips_Exp-20_Pitch-1.2_SlCol-16x1.5	CT, nan	IDC,TCIA	2
Scanner-Philips_Exp-20_Pitch-1.2_SlCol-16x1.5mm	CT, nan	IDC,TCIA	2
5V6B-1	SR, nan	IDC,TCIA	2
5V6A-2	SR, nan	IDC,TCIA	2
5V6A-1	SR, nan	IDC,TCIA	2
5V5F-2	SR, nan	IDC,TCIA	2
Scanner-Philips_Exp-25_Pitch-1.2_SlCol-16x0.75	CT, nan	IDC,TCIA	2
5V5E-2	SR, nan	IDC,TCIA	2
Scanner-Philips_Exp-25_Pitch-1.2_SlCol-16x1.5	CT, nan	IDC,TCIA	2
_t4of4_MRI IAMS WITH CONTRAST	MR, nan	IDC,TCIA	2
_t4of4MRI Head	MR, nan	IDC,TCIA	2
Thorax^LOW_DOSE_CHEST_SCREENING (Adult)	CT, nan	IDC,TCIA	2
_t3of3_MR IAM's	MR	IDC	2
_t3of4  MRI IAMS	MR, nan	IDC,TCIA	2
_t3of4  External Images for PACS	MR, nan	IDC,TCIA	2
4V5C-1	SR, nan	IDC,TCIA	2
Thorax^CTA_CAP_Customized (Adult)	CT	MIDRC	2
_t3of3_MRI RNTNE historical imaging	MR, nan	IDC,TCIA	2
4V5B-2	SR, nan	IDC,TCIA	2
_t3of3_MR IAMs	nan	TCIA	2
_t3of3_MR Head	MR, nan	IDC,TCIA	2
5V3A-2	SR, nan	IDC,TCIA	2
4V5B-1	SR, nan	IDC,TCIA	2
1V6A-2	SR, nan	IDC,TCIA	2
4V5A-2	SR, nan	IDC,TCIA	2
4V5A-1	SR, nan	IDC,TCIA	2
4V4F-2	SR, nan	IDC,TCIA	2
4V4E-2	SR, nan	IDC,TCIA	2
Thorax^CT_CHEST_LOW_DOSE_NODULE_WO (Adult)	CT	MIDRC	2
4V5C-2	SR, nan	IDC,TCIA	2
4V5D-1	SR, nan	IDC,TCIA	2
4V5D-2	SR, nan	IDC,TCIA	2
Thorax^CHEST_WO_IRIS (Adult)	CT	MIDRC	2
4V6E-2	SR, nan	IDC,TCIA	2
Thorax^CHEST_ABD_WITH (Adult)	CT, nan	IDC,TCIA	2
4V6E-1	SR, nan	IDC,TCIA	2
4V6D-2	SR, nan	IDC,TCIA	2
4V6D-1	SR, nan	IDC,TCIA	2
Thorax^CHEST_NON_CONTRAST (Adult)	CT, nan	IDC,TCIA	2
4V6C-2	SR, nan	IDC,TCIA	2
4V6C-1	SR, nan	IDC,TCIA	2
4V6B-2	SR, nan	IDC,TCIA	2
4V6B-1	SR, nan	IDC,TCIA	2
4V6A-2	SR, nan	IDC,TCIA	2
4V6A-1	SR, nan	IDC,TCIA	2
4V5F-2	SR, nan	IDC,TCIA	2
4V5E-2	SR, nan	IDC,TCIA	2
4V5E-1	SR, nan	IDC,TCIA	2
4V4E-1	SR, nan	IDC,TCIA	2
4V4D-2	SR, nan	IDC,TCIA	2
Thorax^CT_CHEST_WO_AND_HI_RES_CUTS (Adult)	CT	MIDRC	2
4V3C-1	SR, nan	IDC,TCIA	2
Thorax^GH_ThoraxHR (Adult)	CT	MIDRC	2
4V3B-1	SR, nan	IDC,TCIA	2
4V3A-2	SR, nan	IDC,TCIA	2
_t3of3MRI IAMS	MR, nan	IDC,TCIA	2
1V6B-2	SR, nan	IDC,TCIA	2
4V3A-1	SR, nan	IDC,TCIA	2
Thorax^KLATKA_PIERSIOWA_kontrast (Adult)	CT, nan	IDC,TCIA	2
Thorax^KlatkaPiersiowa (Adult)	RTSTRUCT, nan	IDC,TCIA	2
1V6C-1	SR, nan	IDC,TCIA	2
1V6C-2	SR, nan	IDC,TCIA	2
4V2F-2	SR, nan	IDC,TCIA	2
1V6D-1	SR, nan	IDC,TCIA	2
4V2E-2	SR, nan	IDC,TCIA	2
Thorax^LOW_DOSE_CHEST_CT_NON_CON (Adult)	CT, nan	IDC,TCIA	2
1V6D-2	SR, nan	IDC,TCIA	2
4V3B-2	SR, nan	IDC,TCIA	2
4V3C-2	SR, nan	IDC,TCIA	2
Thorax^CT_CHST_ABD_PELVIS_WO_W_IVCON (Adult)	SEG, nan	IDC,TCIA	2
4V3D-1	SR, nan	IDC,TCIA	2
4V4D-1	SR, nan	IDC,TCIA	2
4V4C-2	SR, nan	IDC,TCIA	2
Thorax^C_A_P_WITH _XXL (Adult)	CT	MIDRC	2
4V4C-1	SR, nan	IDC,TCIA	2
4V4B-2	SR, nan	IDC,TCIA	2
Thorax^Chest (Adult)	CT, nan	IDC,TCIA	2
4V4B-1	SR, nan	IDC,TCIA	2
4V4A-2	SR, nan	IDC,TCIA	2
4V4A-1	SR, nan	IDC,TCIA	2
Thorax^DE_TRAUMA_CAP_WITH_FEET_FIRST__INFUSION_AUTO_Customized (	CT	MIDRC	2
1V6B-1	SR, nan	IDC,TCIA	2
4V3F-2	SR, nan	IDC,TCIA	2
4V3E-2	SR, nan	IDC,TCIA	2
4V3E-1	SR, nan	IDC,TCIA	2
4V3D-2	SR, nan	IDC,TCIA	2
4V6F-2	SR, nan	IDC,TCIA	2
_t3of4MRI Head	MR, nan	IDC,TCIA	2
57MRI BREAST BILAT WO/W CONTRAST	MR	ACRdart,IDC	2
Thorax^01_ThoraxRoutine (Adult)	CT, nan	IDC,TCIA	2
5V2B-2	SR, nan	IDC,TCIA	2
Thorax^02_0_Chest_Routine (Adult)	SEG, nan	IDC,TCIA	2
5V2B-1	SR, nan	IDC,TCIA	2
Thorax^03_THORAX_ROUTINE (Adult)	CT, nan	IDC,TCIA	2
Thorax^04Chest_Biphase _Liver_Panc (Adult)	SEG, nan	IDC,TCIA	2
5V2A-2	SR, nan	IDC,TCIA	2
_t4of4  External Images for PACS	MR, nan	IDC,TCIA	2
Thorax^04_Chest_Biphase_Liver_Panc (Adult)	SEG, nan	IDC,TCIA	2
Thorax^04_PE (Adult)	CT, nan	IDC,TCIA	2
Thorax^08 PE ROUTINE	CT, nan	IDC,TCIA	2
5V2A-1	SR, nan	IDC,TCIA	2
Thorax^1 CHEST BIPHASE LIVER	SEG, nan	IDC,TCIA	2
5V1F-2	SR, nan	IDC,TCIA	2
_t3of7  External Images for PACS	MR, nan	IDC,TCIA	2
Thorax^11WBPETCT	SEG, nan	IDC,TCIA	2
Thorax^02CAPRoutine (Adult)	CT, nan	IDC,TCIA	2
Thorax^01_ThoraxNative (Adult)	CT, nan	IDC,TCIA	2
5V1E-2	SR, nan	IDC,TCIA	2
5V2C-1	SR, nan	IDC,TCIA	2
5V3A-1	SR, nan	IDC,TCIA	2
_t4of4  MRI IAMS	MR, nan	IDC,TCIA	2
TUMOR PET RES	PT, nan	IDC,TCIA	2
5V2F-2	SR, nan	IDC,TCIA	2
5V2E-2	SR, nan	IDC,TCIA	2
Thorax 01_PE (Adult)	CT, nan	IDC,TCIA	2
5V2E-1	SR, nan	IDC,TCIA	2
Thorax^01 Chest 1mm Collimator	CT, nan	IDC,TCIA	2
5V2D-2	SR, nan	IDC,TCIA	2
5V2D-1	SR, nan	IDC,TCIA	2
Thorax^01_CHEST (Adult)	CT, nan	IDC,TCIA	2
5V2C-2	SR, nan	IDC,TCIA	2
Thorax^01_CHEST_ROUTINE (Adult)	CT, nan	IDC,TCIA	2
Thorax^01_CHEST_ROUTINE_WITH (Adult)	CT	MIDRC	2
Thorax^01_Chest_Routine (Adult)	CT, nan	IDC,TCIA	2
Thorax^11_Chest_BX_Startup_NObreathing (Adult)	CT	MIDRC	2
5V1E-1	SR, nan	IDC,TCIA	2
5AFOV LUNG	PT, nan	IDC,TCIA	2
5V1B-1	SR, nan	IDC,TCIA	2
1V5F-2	SR, nan	IDC,TCIA	2
Thorax^AVERAGE_CHEST_WITH_IV_CONTRAST (Adult)	nan	TCIA	2
_t3of5External Images for PACS	MR, nan	IDC,TCIA	2
Thorax^CAP (Adult)	SEG, nan	IDC,TCIA	2
_t3of5  MRI IAMS post Gad	MR, nan	IDC,TCIA	2
1V6A-1	SR, nan	IDC,TCIA	2
Thorax^CAP_ARTERIAL_PORTVENOUS (Adult)	SEG, nan	IDC,TCIA	2
Thorax^CAP_WITH (Adult)	CT	MIDRC	2
5V1A-2	SR, nan	IDC,TCIA	2
5V1A-1	SR, nan	IDC,TCIA	2
Thorax^CAP_WO (Adult)	CT	MIDRC	2
Thorax^CHEST (Adult)	CT, nan	IDC,TCIA	2
Thorax^CHESTABDPELVIS.WCONTRAST	CT, nan	IDC,TCIA	2
5AFOV TORSO	PT, nan	IDC,TCIA	2
_t3of4MRI IAMS	MR, nan	IDC,TCIA	2
Thorax^AVERAGE_CHEST_LOW_DOSE (Adult)	nan	TCIA	2
Thorax^3_CHEST_ABD_PELV_BMI_SM (Adult)	RTSTRUCT, nan	IDC,TCIA	2
5V1D-2	SR, nan	IDC,TCIA	2
Thorax^31_ThorAbd_N_CE (Adult)	CT, nan	IDC,TCIA	2
_t3of6  MRI IAMS post Gad	MR, nan	IDC,TCIA	2
Thorax^1MM_CHEST_ROUTINE (Adult)	CT, nan	IDC,TCIA	2
5V1D-1	SR, nan	IDC,TCIA	2
5V1C-2	SR, nan	IDC,TCIA	2
1V5E-2	SR, nan	IDC,TCIA	2
Thorax^1_CAP_W_WO (Adult)	SEG, nan	IDC,TCIA	2
Thorax^1_CHEST_ROUTINE_3MM	CT, nan	IDC,TCIA	2
5V1C-1	SR, nan	IDC,TCIA	2
Thorax^1_CHEST_WO (Adult)	CT, nan	IDC,TCIA	2
Thorax^1_CHEST_WO_IRIS (Adult)	CT	MIDRC	2
Thorax^1_PULMONARY_EMBOLIS (Adult)	CT, nan	IDC,TCIA	2
Thorax^1_ROUTINE_CHEST_LARGE (Adult)	CT, nan	IDC,TCIA	2
Thorax^1_Routine_Chest (Adult)	CT, nan	IDC,TCIA	2
5V1B-2	SR, nan	IDC,TCIA	2
Thorax^3 PE PROTOCOL + LEGS	CT, nan	IDC,TCIA	2
TK- j. brzuszna z kontr.	RTSTRUCT, nan	IDC,TCIA	2
CT CHE/ABD/PEL	SEG, nan	IDC,TCIA	2
MRI Abd wo+w	MR, nan	IDC,TCIA	2
CT A/P  LIVER	SEG, nan	IDC,TCIA	2
CT A/P LIVER PR.	SEG, nan	IDC,TCIA	2
CT_R_Hip	CT, nan	IDC,TCIA	2
CT_SkullMidThigh	CT, nan	IDC,TCIA	2
CT_T_Spine	CT, nan	IDC,TCIA	2
CT_WholeBody	CT, nan	IDC,TCIA	2
CT_biopstbonemarrow	CT, nan	IDC,TCIA	2
CT A/P LIVER	SEG, nan	IDC,TCIA	2
CT A/P IV PO	CT, nan	IDC,TCIA	2
CT A/P (LIVER) W/WO	SEG, nan	IDC,TCIA	2
CT_pelvisbonebiopsy	CT, nan	IDC,TCIA	2
CVA12	CT, nan	IDC,TCIA	2
CXR	DX	MIDRC	2
CXR  COUGHX 3 MONTHS	CT, nan	IDC,TCIA	2
Cardiac^02_0_Constrictive_Pericarditis (Adult)	CT, nan	IDC,TCIA	2
Cardiac^CORONARY_RETROSPECTIVE_MORE_PAD (Adult)	CT	MIDRC	2
CT A/P RENAL	SEG, nan	IDC,TCIA	2
CT A/P W/W/O	CT, nan	IDC,TCIA	2
CT_Lung	CT, nan	IDC,TCIA	2
CT_Biopsy_Liver	CT, nan	IDC,TCIA	2
CTAPWO	CT, nan	IDC,TCIA	2
CT ABD LIV PRO	SEG, nan	IDC,TCIA	2
CTCAP/CT6   CT CHE/BODY(SCH	CT, nan	IDC,TCIA	2
CT ABD AND/OR PEL - CD	CT, nan	IDC,TCIA	2
CTTHOR2 CT THORAX W/WO CONTR	CT, nan	IDC,TCIA	2
CT ABD & PELVIS W/O CONTRAST	nan	TCIA	2
CT ABD & PELV W/CONTRAST	nan	TCIA	2
CT_L_Hip	CT, nan	IDC,TCIA	2
CT_Brain	nan	TCIA	2
CT AB/PEL W & W/O CONTRAST	CT, nan	IDC,TCIA	2
CT_CHEST	CT, nan	IDC,TCIA	2
CT AB WITH	CT, nan	IDC,TCIA	2
CT_ChestAbd	CT, nan	IDC,TCIA	2
CT A/P-RENAL	SEG, nan	IDC,TCIA	2
Cardiac^FLASH_PILOT_LAMODEL (Adult)	CT	MIDRC	2
CT A-P LIVER	SEG, nan	IDC,TCIA	2
CT URETERS W/O	CT, nan	IDC,TCIA	2
CT A	RTSTRUCT, nan	IDC,TCIA	2
ComboHD Unilateral Left	MG, nan	IDC,TCIA	2
Cryomacrotome anatomic images	XC	IDC	2
DELAYS	CT, nan	IDC,TCIA	2
CRANE 3MM	CT	IDC	2
DG RIBS BILAT 3V	DX	MIDRC	2
DIG CB DX TOMO MAM	MG	IDC	2
DIG DX TOMO MAMMO BIL	MG	ACRdart,IDC	2
DIG MAM DIAGNOSTIC UNI LT	MG	ACRdart,IDC	2
DIG MAM SCRN>UNI DX SAME DAY	MG	ACRdart	2
CORONARY_AFIB (Adult)	CT	AIMI	2
DIGITAL BILAT SCREENING MAMMO	MG, nan	IDC,TCIA	2
DIGITAL DX MAMMO UNILAT (NO CAD)	MG	ACRdart	2
DIGITAL MAMMOGRAM UNILATERAL	nan	TCIA	2
CONTRABREAST -LT	MR, nan	IDC,TCIA	2
